神煞,條件,說明,關聯柱
太歲,本命四柱地支含當年地支,大事不宜,全部
紅鸞,本命年支+查表對照流年地支,婚緣感情,年/月
天喜,本命年支+查表對照流年地支,姻緣潤色,年/月
將星,本命年支+查表,主升遷,年
華蓋,本命年支+查表,主孤獨,年
咸池,本命年支+查表,桃花,年
文昌,本命年干+查表對流年支,文學考試,年
天乙,日干+查表對應支,貴人,日
