"KIND","SKYNO","TOSKY","SKYSTAR","TOFLO","FLOSTAR","unique_id"
"時","甲",NULL,NULL,"午","紅艷",127
"時","甲",NULL,NULL,"未","乙貴",128
"時","甲",NULL,NULL,"申","路空",129
"時","甲",NULL,NULL,"酉","飛刃",130
"時","甲",NULL,NULL,"亥","桃花",132
"時","乙",NULL,NULL,"子","乙貴",133
"時","乙",NULL,NULL,"丑","",134
"時","乙",NULL,NULL,"寅","血刃",135
"時","乙",NULL,NULL,"卯","干祿,桃花",136
"時","乙",NULL,NULL,"辰","羊刃",137
"時","乙",NULL,NULL,"巳","",138
"時","乙",NULL,NULL,"午","紅艷",139
"時","乙",NULL,NULL,"未","",140
"時","乙",NULL,NULL,"申","乙貴",141
"時","乙",NULL,NULL,"酉","",142
"時","乙",NULL,NULL,"亥","學士,桃花",144
"時","丙",NULL,NULL,"子","飛刃,桃花",145
"時","丙",NULL,NULL,"丑","",146
"時","丙",NULL,NULL,"寅","紅艷",147
"時","丙",NULL,NULL,"卯","學士",148
"時","丙",NULL,NULL,"辰","血刃",149
"時","丙",NULL,NULL,"巳","干祿",150
"時","丙",NULL,NULL,"午","羊刃",151
"時","丙",NULL,NULL,"未","",152
"時","丙",NULL,NULL,"申","文昌,桃花",153
"時","丙",NULL,NULL,"酉","乙貴",154
"時","丙",NULL,NULL,"亥","乙貴",156
"時","丁",NULL,NULL,"子","桃花",157
"時","丁",NULL,NULL,"丑","",158
"時","丁",NULL,NULL,"寅","學士",159
"時","丁",NULL,NULL,"卯","",160
"時","丁",NULL,NULL,"辰","",161
"時","丁",NULL,NULL,"巳","血刃",162
"時","丁",NULL,NULL,"午","干祿",163
"時","丁",NULL,NULL,"未","紅艷,羊刃",164
"時","丁",NULL,NULL,"申","桃花",165
"時","丁",NULL,NULL,"酉","乙貴,文昌",166
"時","丁",NULL,NULL,"亥","乙貴",168
"時","戊",NULL,NULL,"子","飛刃",169
"時","戊",NULL,NULL,"丑","乙貴",170
"時","戊",NULL,NULL,"寅","",171
"時","戊",NULL,NULL,"卯","桃花",172
"時","戊",NULL,NULL,"辰","紅艷,血刃",173
"時","戊",NULL,NULL,"巳","干祿",174
"時","戊",NULL,NULL,"午","羊刃,學士",175
"時","戊",NULL,NULL,"未","乙貴",176
"時","戊",NULL,NULL,"申","文昌",177
"時","戊",NULL,NULL,"酉","",178
"時","戊",NULL,NULL,"亥","",180
"時","己",NULL,NULL,"子","乙貴",181
"時","己",NULL,NULL,"丑","飛刃",182
"時","己",NULL,NULL,"寅","",183
"時","己",NULL,NULL,"卯","",184
"時","己",NULL,NULL,"辰","紅艷",185
"時","己",NULL,NULL,"巳","學士,血刃",186
"時","己",NULL,NULL,"午","干祿",187
"時","己",NULL,NULL,"未","羊刃",188
"時","己",NULL,NULL,"申","乙貴",189
"時","己",NULL,NULL,"酉","文昌",190
"時","己",NULL,NULL,"亥","",192
"時","庚",NULL,NULL,"子","",193
"時","庚",NULL,NULL,"丑","乙貴",194
"時","庚",NULL,NULL,"寅","",195
"時","庚",NULL,NULL,"卯","飛刃",196
"時","庚",NULL,NULL,"辰","",197
"時","庚",NULL,NULL,"巳","桃花",198
"時","庚",NULL,NULL,"午","學士",199
"時","庚",NULL,NULL,"未","乙貴,血刃",200
"時","庚",NULL,NULL,"申","干祿",201
"時","庚",NULL,NULL,"酉","羊刃",202
"時","庚",NULL,NULL,"亥","文昌,桃花",204
"時","辛",NULL,NULL,"子","文昌",205
"時","辛",NULL,NULL,"丑","",206
"時","辛",NULL,NULL,"寅","乙貴",207
"時","辛",NULL,NULL,"卯","",208
"時","辛",NULL,NULL,"辰","飛刃",209
"時","辛",NULL,NULL,"巳","學士",210
"時","辛",NULL,NULL,"午","乙貴",211
"時","辛",NULL,NULL,"未","",212
"時","辛",NULL,NULL,"申","血刃",213
"時","辛",NULL,NULL,"酉","干祿,紅艷",214
"時","辛",NULL,NULL,"亥","",216
"時","壬",NULL,NULL,"子","紅艷,羊刃",217
"時","壬",NULL,NULL,"丑","",218
"時","壬",NULL,NULL,"寅","文昌",219
"時","壬",NULL,NULL,"卯","乙貴",220
"時","壬",NULL,NULL,"辰","",221
"時","壬",NULL,NULL,"巳","乙貴",222
"時","壬",NULL,NULL,"午","飛刃,桃花",223
"時","壬",NULL,NULL,"未","",224
"時","壬",NULL,NULL,"申","學士",225
"時","壬",NULL,NULL,"酉","",226
"時","壬",NULL,NULL,"亥","干祿",228
"時","癸",NULL,NULL,"子","干祿",229
"時","癸",NULL,NULL,"丑","羊刃",230
"時","癸",NULL,NULL,"寅","",231
"時","癸",NULL,NULL,"卯","文昌,乙貴",232
"時","癸",NULL,NULL,"辰","",233
"時","癸",NULL,NULL,"巳","乙貴",234
"時","癸",NULL,NULL,"午","",235
"時","癸",NULL,NULL,"未","飛刃",236
"時","癸",NULL,NULL,"申","紅艷,學士",237
"時","癸",NULL,NULL,"酉","",238
"時","癸",NULL,NULL,"亥","血刃",240
"月","甲",NULL,NULL,"子","學士",241
"月","甲",NULL,NULL,"丑","乙貴,血刃",242
"月","甲",NULL,NULL,"寅","干祿",243
"月","甲",NULL,NULL,"卯","羊刃,桃花",244
"月","甲",NULL,NULL,"辰","",245
"月","甲",NULL,NULL,"巳","文昌",246
"月","甲",NULL,NULL,"午","紅艷",247
"月","甲",NULL,NULL,"未","乙貴",248
"月","甲",NULL,NULL,"申","路空",249
"月","甲",NULL,NULL,"酉","飛刃",250
"月","甲",NULL,NULL,"亥","桃花",252
"月","乙",NULL,NULL,"子","乙貴",253
"月","乙",NULL,NULL,"丑","",254
"月","乙",NULL,NULL,"寅","血刃",255
"月","乙",NULL,NULL,"卯","干祿,桃花",256
"月","乙",NULL,NULL,"辰","羊刃",257
"月","乙",NULL,NULL,"巳","",258
"月","乙",NULL,NULL,"午","紅艷",259
"月","乙",NULL,NULL,"未","",260
"月","乙",NULL,NULL,"申","乙貴",261
"月","乙",NULL,NULL,"酉","",262
"月","乙",NULL,NULL,"亥","學士,桃花",264
"月","丙",NULL,NULL,"子","飛刃,桃花",265
"月","丙",NULL,NULL,"丑","",266
"月","丙",NULL,NULL,"寅","紅艷",267
"月","丙",NULL,NULL,"卯","學士",268
"月","丙",NULL,NULL,"辰","血刃",269
"月","丙",NULL,NULL,"巳","干祿",270
"月","丙",NULL,NULL,"午","羊刃",271
"月","丙",NULL,NULL,"未","",272
"月","丙",NULL,NULL,"申","文昌,桃花",273
"月","丙",NULL,NULL,"酉","乙貴",274
"月","丙",NULL,NULL,"亥","乙貴",276
"月","丁",NULL,NULL,"子","桃花",277
"月","丁",NULL,NULL,"丑","",278
"月","丁",NULL,NULL,"寅","學士",279
"月","丁",NULL,NULL,"卯","",280
"月","丁",NULL,NULL,"辰","",281
"月","丁",NULL,NULL,"巳","血刃",282
